"longitude","latitude","height"
"-104.99657","52.35965","10040.58"
"-104.83852","52.47313","10040.27"
"-104.68841","52.58019","10039.9"
"-104.5369","52.68745","10039.52"
"-104.38322","52.79568","10039.14"
"-104.36918","52.80551","10039.1"
"-104.14574","52.96129","10038.5"
"-104.08882","53.00075","10038.34"
"-103.66236","53.29321","10037.06"
"-103.50163","53.40198","10036.52"
"-103.34328","53.50841","10035.99"
"-103.18163","53.61635","10035.45"
"-103.01807","53.72468","10034.91"
"-102.85287","53.83333","10034.47"
"-102.6947","53.93663","10034.08"
"-102.67634","53.94859","10034.03"
"-102.48911","54.06987","10033.65"
"-102.2399","54.22977","10033.22"
"-102.07179","54.33659","10032.94"
"-101.89569","54.44769","10032.64"
"-101.70779","54.56534","10032.33"
"-101.63161","54.61276","10032.22"
"-100.99348","55.0037","10031.42"
"-100.81579","55.11273","10031.19"
"-100.63565","55.22264","10030.93"
"-100.44937","55.33539","10030.6"
"-100.2748","55.44008","10030.29"
"-100.0996","55.54445","10030"
"-99.92199","55.64932","10029.73"
"-99.74412","55.75351","10029.49"
"-99.56592","55.85728","10029.14"
"-99.39177","55.95775","10028.76"
"-99.21032","56.0617","10028.26"
"-99.03151","56.16321","10027.69"
"-98.85481","56.26291","10027.12"
"-98.75731","56.3175","10026.81"
"-92.14444","59.53107","10623.76"
"-91.9352","59.61856","10623.89"
"-91.7233","59.7063","10624.05"
"-91.50816","59.79458","10624.26"
"-91.29959","59.87933","10624.49"
"-91.08373","59.96636","10624.75"
"-90.88204","60.06123","10624.98"
"-90.70332","60.17049","10625.19"
"-90.51695","60.27779","10625.42"
"-90.33527","60.38063","10625.63"
"-90.149","60.48518","10625.84"
"-90.02708","60.5532","10625.97"
"-89.74967","60.70626","10626.24"
"-89.617","60.77884","10626.34"
"-87.30364","61.97255","10628.64"
"-59.43304","68.13538","10694.36"
"-59.06637","68.17969","10695.72"
"-58.69851","68.22324","10696.85"
"-58.32642","68.26625","10697.56"
"-57.95463","68.30823","10697.89"
"-57.58284","68.34924","10698.01"
"-57.21012","68.38943","10698.12"
"-56.83685","68.42862","10698.38"
"-56.46272","68.46693","10698.76"
"-56.08337","68.50484","10699.18"
"-55.70435","68.54182","10699.41"
"-55.31946","68.57824","10699.27"
"-54.92968","68.61415","10698.75"
"-54.5568","68.64748","10698.01"
"-54.16822","68.6814","10697.2"
"-53.78302","68.71394","10696.55"
"-53.39172","68.7459","10696.21"
"-52.99648","68.77739","10696.22"
"-52.60954","68.80714","10696.5"
"-52.21953","68.83614","10696.91"
"-51.83844","68.86361","10697.44"
"-51.44309","68.89105","10698.12"
"-51.04564","68.91775","10698.95"
"-50.65205","68.94307","10699.93"
"-50.26114","68.96736","10700.99"
"-49.862","68.9873","10702.1"
"-49.45413","68.99833","10703.2"
"-49.04689","69.00851","10704.25"
"-48.65419","69.01737","10705.2"
"-48.29727","69.02459","10706.04"
"-29.1449","67.84658","11341.65"
"-28.98855","67.82117","11341.68"
"-28.52525","67.74468","11341.68"
"-28.04757","67.66386","11341.81"
"-27.71401","67.60634","11342.03"
"-27.37356","67.54655","11342.31"
"-27.0469","67.48827","11342.56"
"-26.72125","67.42923","11342.67"
"-26.39715","67.36942","11342.64"
"-26.07518","67.30913","11342.52"
"-25.7552","67.24829","11342.39"
"-25.49839","67.19872","11342.44"
"-25.02888","67.10655","11342.85"
"-24.71243","67.04324","11343.37"
"-24.39717","66.97925","11343.99"
"-24.08335","66.91452","11344.62"
"-23.77346","66.84965","11345.14"
"-23.46293","66.78374","11345.54"
"-23.15693","66.71787","11345.83"
"-22.84894","66.65057","11346.07"
"-22.54657","66.58357","11346.3"
"-22.24051","66.51475","11346.53"
"-21.94095","66.44648","11346.77"
"-21.64486","66.37798","11347"
"-21.34827","66.30853","11347.2"
"-21.05129","66.23799","11347.38"
"-20.76073","66.168","11347.56"
"-20.46514","66.09585","11347.79"
"-20.17269","66.02355","11348.04"
"-19.8698","65.9599","11348.29"
"-19.54587","65.91103","11348.51"
"-19.22667","65.86047","11348.73"
"-18.90771","65.8089","11348.91"
"-18.5854","65.75574","11349.05"
"-18.26923","65.70277","11349.11"
"-17.94079","65.64685","11349.12"
"-17.62601","65.59234","11349.1"
"-17.31125","65.53702","11349.04"
"-16.99459","65.48039","11348.95"
"-16.68549","65.42427","11348.86"
"-16.37524","65.36705","11348.81"
"-16.07058","65.31001","11348.81"
"-15.76197","65.25128","11348.82"
"-15.45353","65.19176","11348.76"
"-15.1474","65.1318","11348.59"
"-14.84413","65.07147","11348.29"
"-14.5448","65.01105","11347.88"
"-14.23416","64.9474","11347.31"
"-13.92803","64.88374","11346.75"
"-13.63037","64.82101","11346.29"
"-13.33048","64.75685","11345.94"
"-13.03505","64.69281","11345.71"
"-12.74288","64.62856","11345.56"
"-12.4541","64.56418","11345.46"
"-12.16604","64.49899","11345.34"
"-11.86913","64.43105","11345.14"
"-11.61442","64.37192","11344.91"
"-10.65684","64.14345","11343.62"
"-10.36856","64.07259","11343.14"
"-10.08732","64.00272","11342.68"
"-9.80299","63.93689","11342.26"
